ticker,detect_number
5803.T,176.7837688866472
5801.T,109.65135107060698
7013.T,103.75939258249377
2432.T,97.33870536452605
5631.T,55.451424782746514
7011.T,53.95498435403836
4902.T,52.991096455337484
7012.T,50.8813679522968
6857.T,49.002788262388194
6098.T,48.046700523894785
7453.T,42.073034411166134
3086.T,40.42123924216908
8630.T,39.07599263932491
8411.T,35.941124690210344
9766.T,35.8841964765548
7752.T,34.94143632774309
1803.T,31.91889296243885
6501.T,31.231535007641586
6532.T,31.036516322380734
8316.T,30.813112615668825
9531.T,30.497902833182966
5802.T,30.456968609352398
3405.T,29.82419472311865
3402.T,29.48383904770275
4578.T,29.36235038144901
8306.T,28.15722920504428
1802.T,27.717309279903795
3099.T,26.63581786431692
2501.T,26.629819609564187
9983.T,26.14899894667944
8725.T,26.022975200384106
6762.T,25.841546677387928
7211.T,25.711468878207228
6752.T,25.483838245570322
8308.T,24.808623990700195
6758.T,24.6696635353994
7832.T,24.529653007215497
7205.T,22.60219491254129
3382.T,21.801243007506
7751.T,21.687057416428228
8766.T,21.262213035288752
8604.T,21.162569256760204
9602.T,20.000867419463454
3092.T,19.75465794601552
6701.T,19.091990238995958
